Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PICCADILLY GRAND,"1,631,000",710.42,"2,296",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,66,"24,712",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"2,386,000","1,097.93","2,173",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,102,"23,392",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,523,000",645.84,"2,358",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"25,383",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,731,000",871.88,"1,985",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,81,"21,370",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,623,000",818.06,"1,984",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,76,"21,355",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,21 to 25
PICCADILLY GRAND,"1,375,000",645.84,"2,129",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"22,917",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,197,000","1,087.16","2,021",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"21,752",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,158,000",516.67,"2,241",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"24,125",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,382,000",645.84,"2,140",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,"23,033",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"2,228,000","1,087.16","2,049",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,101,"22,059",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,796,000",882.65,"2,035",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,82,"21,902",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
PICCADILLY GRAND,"1,164,000",516.67,"2,253",May-22,NORTHUMBERLAND ROAD,New Sale,Strata,48,"24,250",-,Apartment,1,99 yrs lease commencing from 2021,08,Rest of Central Region,01 to 05
